INFO - 2021-08-07 13:04:07,911 - .s3.s3storage - s3storage.__init__ - MainThread - Open S3 AWS Session... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:35
INFO - 2021-08-07 13:04:07,929 - .s3.s3storage - s3storage.__init__ - MainThread - Initialize S3 AWS client for https://hb.bizmrg.com... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:52
INFO - 2021-08-07 13:04:08,480 - .s3.s3base.s3baseobject - s3baseobject._copy_object - MainThread - Copy objects.py from Parallels/Windows 10 to Archives/2021/219/130408 Windows 10 in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3base/s3baseobject.py:332
INFO - 2021-08-07 13:04:08,945 - .s3.s3base.s3baseobject - s3baseobject._copy_object - MainThread - Copied 20 object(s). in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3base/s3baseobject.py:357
INFO - 2021-08-07 13:04:08,965 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/DiskDescriptor.xml.Backup was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 13:04:08,965 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/DiskDescriptor.xml was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 13:04:08,965 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/statistic.log was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 13:04:08,965 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Snapshots.xml was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 13:04:08,965 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/harddisk.hdd.{5fbaabe3-6958-40ff-92a7-860e329aab41}.cache was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 13:04:08,965 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/statistic.log... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 13:04:09,410 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/Snapshots.xml... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 13:04:09,461 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/harddisk.hdd/harddisk.hdd.{5fbaabe3-6958-40ff-92a7-860e329aab41}.cache... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 13:04:09,599 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/harddisk.hdd/DiskDescriptor.xml... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
